GRID_ID,LOCATION
BP-94,POINT (16730.88632013497 6712467.066560788)
BR-94,POINT (17029.24157303957 6712458.280018413)
BS-94,POINT (17175.88421054184 6712367.530257236)
BT-94,POINT (17327.59586771634 6712449.482560697)
BU-94,POINT (17474.2347729862 6712358.7276869)
BV-94,POINT (17625.94928320812 6712440.674185427)
AD-93,POINT (11066.86221723458 6712804.827023321)
AF-93,POINT (11365.24344642573 6712796.233380622)
AG-93,POINT (11511.95941952902 6712705.572072971)
AH-93,POINT (11663.62396511974 6712787.628770944)
AI-93,POINT (11810.33653033252 6712696.962104006)
AJ-93,POINT (11962.0036120209 6712779.013198965)
AK-93,POINT (12108.71285794412 6712688.341170506)
AL-93,POINT (12260.3825108375 6712770.386661152)
BN-93,POINT (16437.58311383295 6712648.551622248)
BO-93,POINT (16584.23644260142 6712557.809736464)
BP-93,POINT (16735.94586473989 6712639.775108303)
BQ-93,POINT (16882.59544293611 6712549.028302604)
BR-93,POINT (17034.30772138267 6712630.987873917)
BS-93,POINT (17180.95351421873 6712540.235956521)
BT-93,POINT (17332.66861973134 6712622.189723583)
BU-93,POINT (17479.3106801217 6712531.432693295)
BV-93,POINT (17631.0286388307 6712613.380655093)
BW-93,POINT (17777.66699297134 6712522.618511498)
AB-92,POINT (10773.41816556204 6712986.131047569)
AC-92,POINT (10920.14094439417 6712895.480601547)
AD-92,POINT (11071.80228194111 6712977.550860965)
AE-92,POINT (11218.52441838183 6712886.892976173)
AF-92,POINT (11370.18944679645 6712968.956975685)
AG-92,POINT (11516.90825577149 6712878.293728663)
AH-92,POINT (11668.57590109975 6712960.352122815)
AI-92,POINT (11815.29130198664 6712869.683516211)
AJ-92,POINT (11966.96148355023 6712951.736307038)
AK-92,POINT (12113.67356495177 6712861.062338615)
AL-92,POINT (12265.34631785919 6712943.109524815)
AM-92,POINT (12412.05499025021 6712852.430197481)
AN-92,POINT (12563.73034960681 6712934.471777749)
BL-92,POINT (16144.2660012179 6712830.031356297)
BM-92,POINT (16290.92628426071 6712739.292211806)
BN-92,POINT (16442.63634826207 6712821.264485736)
BO-92,POINT (16589.29283237471 6712730.520439503)
BP-92,POINT (16741.00570183602 6712812.487276012)
BQ-92,POINT (16887.65843575212 6712721.738314249)
BR-92,POINT (17039.37416258039 6712803.699349559)
BS-92,POINT (17186.02311092166 6712712.945275825)
BT-92,POINT (17337.74166496521 6712794.900506559)
BU-92,POINT (17484.38688064652 6712704.141319655)
BV-92,POINT (17636.10828803441 6712786.090744798)
BW-92,POINT (17782.74979725206 6712695.326444307)
AB-91,POINT (10778.3526441189 6713158.85870649)
AC-91,POINT (10925.07817880328 6713068.206384035)
AD-91,POINT (11076.74261004214 6713150.27833449)
AE-91,POINT (11223.46758270789 6713059.618510517)
AF-91,POINT (11375.13571089839 6713141.684206619)
AG-91,POINT (11521.85735589996 6713051.019020115)
AH-91,POINT (11673.52810114401 6713133.079110541)
AI-91,POINT (11820.24633786122 6713042.408564159)
AJ-91,POINT (11971.91961947845 6713124.46305095)
AK-91,POINT (12118.63453651672 6713033.787142452)
AL-91,POINT (12270.31038961621 6713115.836024304)
AM-91,POINT (12417.02189744473 6713025.154756594)
AN-91,POINT (12568.70035713243 6713107.198032199)
AO-91,POINT (12715.40855072032 6713016.511402684)
