GRID_ID,N_Green,N_Grocery,N_Pharmacy,N_Transport
AN-87,AI-80,AJ-87,BQ-70,AT-78
AF-86,AG-80,AJ-86,L-66,AK-76
AH-86,AG-80,AJ-86,L-66,AK-76
AF-85,AG-80,AJ-86,L-66,AK-76
AG-85,AG-80,AJ-86,L-66,AK-76
AH-85,AG-80,AJ-86,L-66,AK-76
AI-85,AI-80,AJ-86,L-66,AK-76
AJ-85,AI-80,AJ-86,L-66,AK-76
AK-85,AI-80,AJ-86,L-66,AK-76
AL-85,AI-80,AJ-86,L-66,AK-76
AM-85,AI-80,AJ-86,BQ-70,AM-76
AN-85,AI-80,AJ-86,BQ-70,AS-77
AE-84,AG-80,AJ-86,L-66,AE-75
AF-84,AG-80,AJ-86,L-66,AK-76
AG-84,AG-80,AJ-86,L-66,AK-76
AH-84,AG-80,AJ-86,L-66,AK-76
AI-84,AI-80,AJ-86,L-66,AK-76
AJ-84,AI-80,AJ-86,L-66,AK-76
AK-84,AI-80,AJ-86,L-66,AK-76
AL-84,AI-80,AJ-86,L-66,AK-76
AM-84,AI-80,AJ-86,BQ-70,AM-76
AN-84,AI-80,AJ-86,BQ-70,AO-76
AP-84,AL-78,AN-80,BQ-70,AT-78
AE-83,AG-80,AJ-86,L-66,AE-75
AF-83,AG-80,AJ-86,L-66,AE-75
AG-83,AG-80,AJ-86,L-66,AK-76
AH-83,AG-80,AJ-86,L-66,AK-76
AI-83,AI-80,AJ-86,L-66,AK-76
AJ-83,AI-80,AJ-86,L-66,AK-76
AK-83,AI-80,AJ-86,L-66,AK-76
AL-83,AI-80,AJ-86,L-66,AK-76
AM-83,AI-80,AJ-86,BQ-70,AM-76
AN-83,AI-80,AN-80,BQ-70,AO-76
AA-82,AG-80,AC-78,L-66,AE-75
AG-82,AG-80,AG-78,L-66,AK-76
AM-82,AI-80,AN-80,BQ-70,AM-76
AN-82,AL-78,AN-80,BQ-70,AO-76
AP-82,AL-78,AN-80,BQ-70,AS-77
BD-82,BD-77,BB-76,BQ-70,BD-79
Z-81,W-76,AC-78,L-66,AE-75
AB-81,AG-80,AC-78,L-66,AE-75
AD-81,AG-80,AC-78,L-66,AE-75
AJ-81,AI-80,AH-78,L-66,AK-76
AL-81,AI-80,AN-80,L-66,AK-76
AN-81,AL-78,AN-80,BQ-70,AO-76
AO-81,AL-78,AN-80,BQ-70,AO-76
AP-81,AL-78,AN-80,BQ-70,AS-77
AQ-81,AL-78,AN-80,BQ-70,AT-78
AR-81,AL-78,AN-80,BQ-70,AT-78
BP-81,BP-74,BT-77,BQ-70,BL-80
BZ-81,CA-76,BT-77,BQ-70,BL-80
