GRID_ID,FUNCTION,x,y
BP-94,others,16730.88632,6712467.067
BR-94,work,17029.24157,6712458.28
BS-94,others,17175.88421,6712367.53
BT-94,work,17327.59587,6712449.483
BU-94,work,17474.23477,6712358.728
BV-94,rar,17625.94928,6712440.674
AD-93,others,11066.86222,6712804.827
AF-93,others,11365.24345,6712796.233
AG-93,others,11511.95942,6712705.572
AH-93,rar,11663.62397,6712787.629
AI-93,others,11810.33653,6712696.962
AJ-93,rar,11962.00361,6712779.013
AK-93,others,12108.71286,6712688.341
AL-93,others,12260.38251,6712770.387
BN-93,work,16437.58311,6712648.552
BO-93,others,16584.23644,6712557.81
BP-93,work,16735.94586,6712639.775
BQ-93,work,16882.59544,6712549.028
BR-93,work,17034.30772,6712630.988
BS-93,work,17180.95351,6712540.236
BT-93,work,17332.66862,6712622.19
BU-93,work,17479.31068,6712531.433
BV-93,work,17631.02864,6712613.381
BW-93,others,17777.66699,6712522.619
AB-92,others,10773.41817,6712986.131
AC-92,others,10920.14094,6712895.481
AD-92,rar,11071.80228,6712977.551
AE-92,others,11218.52442,6712886.893
AF-92,rar,11370.18945,6712968.957
AG-92,rar,11516.90826,6712878.294
AH-92,rar,11668.5759,6712960.352
AI-92,rar,11815.2913,6712869.684
AJ-92,others,11966.96148,6712951.736
AK-92,rar,12113.67356,6712861.062
AL-92,others,12265.34632,6712943.11
AM-92,others,12412.05499,6712852.43
AN-92,others,12563.73035,6712934.472
BL-92,others,16144.266,6712830.031
BM-92,work,16290.92628,6712739.292
BN-92,work,16442.63635,6712821.264
BO-92,work,16589.29283,6712730.52
BP-92,work,16741.0057,6712812.487
BQ-92,work,16887.65844,6712721.738
BR-92,work,17039.37416,6712803.699
BS-92,work,17186.02311,6712712.945
BT-92,work,17337.74166,6712794.901
BU-92,work,17484.38688,6712704.141
BV-92,work,17636.10829,6712786.091
BW-92,others,17782.7498,6712695.326
AB-91,rar,10778.35264,6713158.859
AC-91,others,10925.07818,6713068.206
AD-91,rar,11076.74261,6713150.278
AE-91,rar,11223.46758,6713059.619
AF-91,rar,11375.13571,6713141.684
AG-91,rar,11521.85736,6713051.019
AH-91,rar,11673.5281,6713133.079
AI-91,rar,11820.24634,6713042.409
AJ-91,work,11971.91962,6713124.463
AK-91,others,12118.63454,6713033.787
AL-91,others,12270.31039,6713115.836
AM-91,others,12417.0219,6713025.155
AN-91,others,12568.70036,6713107.198
AO-91,others,12715.40855,6713016.511
AP-91,others,12867.0898,6713098.549
BJ-91,work,15850.93506,6713011.505
BK-91,others,15997.60228,6712920.769
BL-91,work,16149.31292,6713002.749
BM-91,work,16295.97636,6712912.007
BN-91,work,16447.68987,6712993.981
BO-91,work,16594.34951,6712903.235
BP-91,work,16746.06583,6712985.203
BQ-91,work,16892.72172,6712894.452
BR-91,work,17044.4409,6712976.414
BS-91,work,17191.093,6712885.658
BT-91,work,17342.815,6712967.615
BU-91,work,17489.46337,6712876.854
BV-91,work,17641.18823,6712958.804
BW-91,others,17787.8329,6712868.038
AA-90,others,10631.62481,6713249.509
AB-90,work,10783.28791,6713331.589
AC-90,rar,10930.01577,6713240.936
AD-90,work,11081.68377,6713323.008
AE-90,rar,11228.41109,6713232.347
AF-90,rar,11380.08268,6713314.414
AG-90,rar,11526.80677,6713223.748
AH-90,rar,11678.4809,6713305.809
AI-90,work,11825.20166,6713215.137
AJ-90,others,11976.87826,6713297.193
AK-90,rar,12123.59578,6713206.516
AL-90,rar,12275.27489,6713288.566
AM-90,others,12421.98907,6713197.883
AN-90,others,12573.67077,6713279.927
AO-90,others,12720.38167,6713189.239
AP-90,others,12872.06623,6713271.278
AQ-90,others,13018.77435,6713180.584
BH-90,others,15557.59027,6713192.973
BI-90,work,15704.26439,6713102.24
BJ-90,work,15855.97566,6713184.227
BK-90,work,16002.64604,6713093.488
BL-90,work,16154.36013,6713175.469
BM-90,work,16301.02673,6713084.726
BN-90,work,16452.74369,6713166.701
BO-90,work,16599.40649,6713075.953
BP-90,work,16751.12625,6713157.922
BQ-90,work,16897.7853,6713067.169
BR-90,work,17049.50792,6713149.133
BS-90,work,17196.16318,6713058.375
BT-90,work,17347.88864,6713140.333
BU-90,work,17494.54016,6713049.569
BV-90,work,17646.26847,6713131.522
BW-90,work,17792.91629,6713040.753
AA-89,work,10636.5579,6713422.24
AB-89,work,10788.22467,6713504.321
AC-89,work,10934.95495,6713413.666
AD-89,work,11086.62672,6713495.74
AE-89,work,11233.35613,6713405.078
AF-89,rar,11385.0314,6713487.146
AG-89,rar,11531.75757,6713396.478
AH-89,rar,11683.43538,6713478.54
AI-89,rar,11830.15823,6713387.868
AJ-89,others,11981.83851,6713469.924
AK-89,others,12128.55813,6713379.246
